,trajectory,user_index,year,month,day,label
14,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 15161 [PAD] [PAD] [PAD] 22959 18234 15450 12109 11020 10132 8393 8315 15220 18037 33161 [PAD] 12542 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,5,1,-1
15,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 14939 14448 16886 44521 42753 42772 45527 [PAD] 45553 45741 41453 35444 16537 15743 [PAD] [PAD] [PAD],0,2009,5,2,-1
16,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 23351 20603 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 17965 [PAD] [PAD] 24609 [PAD] 35565 24821 18617 27319 21211 [PAD] [PAD] 24841 [PAD] [PAD] 23478 23583 [PAD] [PAD],0,2009,5,18,5
17,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 26300 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 18157 [PAD] 20814 22484 [PAD] 22404 20321 18493 16389 [PAD] [PAD] 17983 18198 24138 23903 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,5,26,0
18,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 57473 57491 57732 57820 57840 57710 56594 57325 57592 [PAD] 36307 27960 [PAD] [PAD] 29402 29145 31493 36368 32497 23890 21788 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,5,28,-1
19,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 15462 20514 [PAD] [PAD] 23736 17585 [PAD] [PAD] 16511 21052 18640 15773 17207 32844 [PAD] 55991 55287 41641 36917 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,5,30,-1
20,[PAD] [PAD] [PAD] [PAD] [PAD] 27860 24475 28312 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 17948 [PAD] [PAD] [PAD] [PAD] 25244 20677 21162 [PAD] [PAD] 22693 [PAD] 17643 20185 [PAD] [PAD] 22771 22451 [PAD],0,2009,6,3,5
21,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 64711 64714 46635 [PAD] [PAD] 25549 21978 21485 [PAD] 15212 16039 [PAD] [PAD] [PAD] [PAD] [PAD] 25165 21904 18861 [PAD] [PAD] 22436 [PAD] [PAD] 19633 [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,6,5,0
22,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 15625 19752 47328 [PAD] [PAD] 47039 47331 26811 24412 19900 16857 18385 [PAD] [PAD] [PAD] 21952 25867 [PAD] 25130 19757 22706 [PAD] [PAD] [PAD] 24314 23865 23727 23874 23450 21811 [PAD] [PAD],0,2009,6,9,-1
23,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 26801 [PAD] [PAD] [PAD] [PAD] 17484 [PAD] [PAD] 22882 24054 61957 [PAD] [PAD] [PAD] [PAD] 62178 62336 56913 56733 41857 32825 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 26749 35729 43027 [PAD],0,2009,6,11,-1
24,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 26680 [PAD] [PAD] [PAD] [PAD] [PAD] 18158 23682 36920 2178 1758 1104 747 748 754 753 742 711 716 730 772 770 819 1201 [PAD] [PAD] [PAD] [PAD] 1740 1756 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,6,13,-1
25,[PAD] [PAD] [PAD] [PAD] [PAD] 26399 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 17443 11704 15090 24710 [PAD] [PAD] [PAD] [PAD] [PAD] 26874 21281 [PAD] 26806 24318 [PAD] [PAD] [PAD] 23011 20143 22185 [PAD],0,2009,6,16,5
26,25505 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 17456 16076 18082 15699 15160 17318 17549 13053 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 18227 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 25997 18566 25813 24928 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,6,17,-1
27,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 27053 [PAD] 16898 [PAD] [PAD] [PAD] 23607 23024 [PAD] [PAD] 18159 18879 28956 27897 27613 [PAD] [PAD] [PAD] [PAD] [PAD] 26491 20446 [PAD] [PAD] [PAD] [PAD] [PAD] 22975 17464 [PAD] [PAD],0,2009,6,19,5
28,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 18107 [PAD] 14888 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 24513 27581 26266 22065 27439 27542 26431 [PAD] 17930 36349 27027 [PAD] [PAD] [PAD],0,2009,6,23,-1
29,[PAD] [PAD] [PAD] 28849 17876 17823 17505 18048 17568 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 18057 20119 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 24677 20816 24080 [PAD] [PAD] 25706 [PAD] 23859 23288 18284 [PAD] [PAD] [PAD],0,2009,6,30,0
30,[PAD] [PAD] 20972 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 11999 12541 44938 43709 43759 44538 45065 44547 44599 41395 13422 13337 13324 13224 13125 15153 13202 16041 16052 12227 31282 12534 13394 13332 13339 [PAD] [PAD] [PAD],0,2009,7,2,-1
31,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 12654 12555 27921 [PAD] 29891 17769 [PAD] 27923 21702 23195 [PAD] [PAD] [PAD] [PAD] 24519 18829 17494 19872 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],0,2009,7,3,-1
32,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 11145 23612 [PAD] [PAD] 24686 13203 12922 12247 14846 22983 [PAD] 24385 21830 14130 18808 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,2008,10,24,-1
33,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 11161 11517 12362 2916 2154 1903 1854 1681 1635 1575 1548 1488 1440 1413 1415 1476 1572 1712 1744 1779 1836 1856 2182 5694 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,2008,10,25,-1
34,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 11289 13779 15016 [PAD] [PAD] [PAD] [PAD] 39168 30667 48034 47522 47542 47515 [PAD] 47477 47432 25148 [PAD] 25524 35695 11172 [PAD] 11070 11167 11192 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,2008,10,26,-1
35,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 10905 14886 31544 [PAD] [PAD] [PAD] 39170 39636 11585 11142 11072 33054 55960 55203 [PAD] 33120 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,2008,11,1,-1
36,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 11201 13953 28441 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 23036 15192 15056 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 25601 31458 23701 24236 25133 14064 [PAD] [PAD],1,2008,11,4,-1
37,[PAD] [PAD] [PAD] [PAD] 11286 11305 11240 11236 11130 11296 11230 11278 11183 11202 11206 11180 24093 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 14354 19309 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 27220 14113 [PAD] [PAD] [PAD],1,2008,11,6,-1
38,27620 16689 11838 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 11237 11515 12902 [PAD] [PAD] [PAD] [PAD] 13523 45096 [PAD] [PAD] [PAD] 43885 45119 44204 13315 14949 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,2008,11,8,-1
39,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 10929 30121 [PAD] 29970 30154 30096 30013 28531 29522 33066 37923 [PAD] [PAD] 39137 39196 39199 39171 38578 13500 10714 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,2008,11,15,-1
40,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 11490 10728 15166 25492 [PAD] [PAD] [PAD] [PAD] [PAD] 23768 26169 28840 28421 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 25966 28072 22924 22688 23208 22712 22813 16661 15130 [PAD] [PAD] [PAD],1,2008,11,17,-1
41,11242 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 11279 11074 32767 52759 51775 51773 51852 41768 40311 30392 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 15156 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,2008,12,6,-1
42,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 11229 13450 20442 24682 49020 50060 25348 [PAD] [PAD] [PAD] 24942 57952 58018 57956 57899 57691 57850 48942 25019 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 27147 26702 14164 11155 [PAD],1,2008,12,9,-1
43,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 11254 11228 11166 11120 11159 11176 11194 11162 11156 11190 11223 11133 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 11277 24147 [PAD] [PAD] [PAD] [PAD] 28038 25393 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],1,2008,12,14,-1
44,37812 37346 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 36746 46851 47987 [PAD] [PAD] [PAD] [PAD] 47616 46883 [PAD] 48045 48342 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47528 26604 [PAD] [PAD] 20319 30289 21871 37013 36950 37018,2,2008,10,24,-1
45,37817 37422 37586 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 37212 [PAD] [PAD] 37652 34794 [PAD] 36556 36670 [PAD] [PAD] [PAD] [PAD] 37363 36885 36572 37397 12859 [PAD] [PAD] [PAD] [PAD] 8371 12982 13325 31931 36351 36936 37219 [PAD] [PAD],2,2008,10,25,-1
46,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 36664 36875 2205 2223 2255 2256 2303 1726 1637 1639 1620 1610 1591 1612 1685 1662 2187 2253 2263 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],2,2008,10,26,-1
47,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 2321 [PAD] 47701 47998 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47749 45670 35538 36952 37008 37125 36974 37268 37197 [PAD] [PAD],2,2008,10,27,-1
48,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 37630 46844 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47333 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47431 46964 41777 34568 34974 36965 37052 36899 37083 37189 [PAD] [PAD],2,2008,10,28,-1
49,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 37419 46867 [PAD] [PAD] [PAD] [PAD] [PAD] 47692 47297 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47885 47441 45787 37020 37391 37045 37182 37036 36994 [PAD] [PAD] [PAD],2,2008,10,30,-1
50,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 37006 46865 [PAD] [PAD] [PAD] [PAD] [PAD] 47437 48581 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47649 42564 37001 37222 36998 36984 37138 37153 [PAD] [PAD] [PAD],2,2008,10,31,-1
51,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 42534 4012 3998 3833 3530 2814 2874 2282 1995 1818 1501 1071 6848 37289 37094 36886 40396 37303 37016 37114 37225 21999 36926 37109 37058 [PAD] 37139 [PAD] [PAD] [PAD],2,2008,11,1,-1
52,36518 37144 36745 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 36823 38662 [PAD] 44953 44557 44804 43089 40661 37668 36673 36629 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],2,2008,11,2,-1
53,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 36666 46885 [PAD] [PAD] [PAD] [PAD] [PAD] 47416 47284 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47418 47030 43888 36902 37403 37033 36925 36997 37143 [PAD] [PAD] [PAD],2,2008,11,3,-1
54,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 36888 47311 [PAD] [PAD] [PAD] [PAD] [PAD] 47665 46603 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47761 47479 45621 24550 37180 37203 37184 37445 37830 [PAD],2,2008,11,4,-1
55,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 37312 37258 15798 45880 45896 45760 43310 28074 36913 37030 37085 37039 37093 5059 2266 2257 2254 2268 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD],2,2008,11,9,-1
56,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 2220 47556 47982 47971 [PAD] [PAD] [PAD] [PAD] 47738 47486 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47723 45378 44569 40680 36084 37161 37162 [PAD] [PAD] [PAD] [PAD] [PAD],2,2008,11,10,-1
57,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47318 47383 [PAD] [PAD] [PAD] [PAD] [PAD] 47676 47319 [PAD] [PAD] [PAD] [PAD] 48340 48421 47916 47955 48410 48000 [PAD] 47740 46748 37354 37034 37209 37290 37198 36574 [PAD] [PAD] [PAD] [PAD],2,2008,11,11,-1
58,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 37941 46956 [PAD] [PAD] [PAD] [PAD] [PAD] 47704 46805 [PAD] [PAD] 48011 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47537 47226 [PAD] 21681 37237 37015 37499 37355 37221,2,2008,11,12,-1
59,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 37269 41004 [PAD] [PAD] [PAD] [PAD] [PAD] 47599 46915 [PAD] 48023 48245 47923 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47799 47419 38320 37331 37395 37233 37638 37344 36737 36145 37498 37148,2,2008,11,13,-1
60,[PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 37356 46876 [PAD] [PAD] [PAD] [PAD] [PAD] 47635 46859 43700 36657 36260 36334 34818 45469 [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] 47802 47725 47038 37316 37070 37267 37341 37659 37616 37956,2,2008,11,14,-1
